region,country,population
,Afghanistan,32225560
,Albania,2845955
,Algeria,43000000
,Andorra,77543
,Angola,31127674
,Antigua and Barbuda,96453
,Argentina,44938712
,Armenia,2957500
,Australia,25670480
Norfolk Island,Australia,1756
,Austria,8902600
,Azerbaijan,10067108
,Bahamas,385340
,Bahrain,1543300
,Bangladesh,168400050
,Barbados,287025
,Belarus,9413446
,Belgium,11524454
,Belize,408487
,Benin,11733059
,Bhutan,741672
,Bolivia,11469896
,Bosnia and Herzegovina,3301000
,Botswana,2338851
,Brazil,211358778
,Brunei,442400
,Bulgaria,7000039
,Burkina Faso,20870060
,Burma,54339766
,Burundi,10953317
,Cabo Verde,550483
,Cambodia,15288489
,Cameroon,26545864
,Canada,37984942
,Central African Republic,5496011
,Chad,16244513
,Chile,19107216
,China,1402102760
Hong Kong,China,7500700
Macau,China,679600
,Colombia,49395678
,Comoros,832322
,Congo (Brazzaville),5518092
,Congo (Kinshasa),89561404
,Costa Rica,5058007
,Cote d'Ivoire,25823071
,Croatia,4076246
,Cuba,11209628
,Cyprus,875900
,Czechia,10693939
,Denmark,5822763
Faroe Islands,Denmark,52124
Greenland,Denmark,56081
,Diamond Princess,2670
,Djibouti,1078373
,Dominica,71808
,Dominican Republic,10358320
,Ecuador,17460104
,Egypt,100219756
,El Salvador,6486201
,Equatorial Guinea,1358276
,Eritrea,3497117
,Estonia,1328360
,Eswatini,1093238
,Ethiopia,98665000
,Fiji,884887
,Finland,5527573
,France,67076000
French Polynesia,France,275918
New Caledonia,France,282200
Saint Barthelemy ,France,9793
Saint Martin,France,35746
Saint Pierre and Miquelon,France,6008
Wallis and Futuna,France,11700
,Gabon,2172579
,Gambia,2347706
,Georgia,3723464
,Germany,83149300
,Ghana,30280811
,Greece,10724599
,Grenada,112003
,Guatemala,16604026
,Guinea,12218357
,Guinea-Bissau,1604528
,Guyana,782766
,Haiti,11577779
,Holy See,799
,Honduras,9158345
,Hungary,9772756
,Iceland,364260
,India,1360738303
,Indonesia,266911900
,Iran,83344705
,Iraq,39127900
,Ireland,4921500
,Israel,9182250
,Italy,60238522
,Jamaica,2726667
,Japan,125950000
,Jordan,10653016
,Kazakhstan,18677552
,Kenya,47564296
,"Korea, South",51780579
,Kosovo,1795666
,Kuwait,4420110
,Kyrgyzstan,6533500
,Laos,7123205
,Latvia,1906800
,Lebanon,6825442
,Lesotho,2108000
,Liberia,4475353
,Libya,6871287
,Liechtenstein,38749
,Lithuania,2793471
,Luxembourg,626108
,Madagascar,26251309
,Malawi,19129952
,Malaysia,32742760
,Maldives,374775
,Mali,19973000
,Malta,493559
,Marshall Islands,58413
,Mauritania,4077347
,Mauritius,1265985
,Mexico,126577691
,Micronesia,113815
,Moldova,2681735
,Monaco,38300
,Mongolia,3311410
,Montenegro,622359
,Morocco,35861524
,Mozambique,30066648
,MS Zaandam,1432
,Namibia,2458936
,Nepal,29996478
Curacao,Netherlands,158665
Aruba,Netherlands,112309
,Netherlands,17452781
Sint Maarten,Netherlands,40614
,New Zealand,4976258
,Nicaragua,6460411
,Niger,22314743
,Nigeria,206139587
,North Macedonia,2077132
,Norway,5367580
,Oman,4664790
,Pakistan,219203520
,Panama,4218808
,Papua New Guinea,8935000
,Paraguay,7152703
,Peru,32131400
,Philippines,108508468
,Poland,38379000
,Portugal,10276617
,Qatar,2747282
,Romania,19405156
,Russia,146745098
,Rwanda,12374397
,Saint Kitts and Nevis,52823
,Saint Lucia,178696
,Saint Vincent and the Grenadines,110608
,Samoa,196130
,San Marino,33574
,Sao Tome and Principe,201784
,Saudi Arabia,34218169
,Senegal,16209125
,Serbia,6963764
,Seychelles,97625
,Sierra Leone,7901454
,Singapore,5703600
,Slovakia,5456362
,Slovenia,2094060
,Solomon Islands,652858
,Somalia,15893219
,South Africa,58775022
,South Sudan,12778250
,Spain,47100396
,Sri Lanka,21803000
,Sudan,42406315
,Suriname,581372
,Sweden,10333456
,Switzerland,8586550
,Syria,17500657
,Taiwan*,23604265
,Tajikistan,9101000
,Tanzania,55890747
,Thailand,66490542
,Timor-Leste,1387149
,Togo,7538000
,Trinidad and Tobago,1363985
,Tunisia,11722038
,Turkey,83154997
,Uganda,40299300
,Ukraine,41879904
,United Arab Emirates,9890400
Turks and Caicos Islands,United Kingdom,41369
Pitcairn Islands,United Kingdom,50
"Saint Helena, Ascensionand Tristan da Cunha",United Kingdom,5633
Montserrat,United Kingdom,4989
Isle of Man,United Kingdom,83314
Jersey,United Kingdom,106800
Gibraltar,United Kingdom,33701
Guernsey,United Kingdom,62792
Falkland Islands,United Kingdom,3198
Cayman Islands,United Kingdom,65813
British Virgin Islands,United Kingdom,30030
Bermuda ,United Kingdom,64027
Anguilla,United Kingdom,14869
,United Kingdom,66435550
,Uruguay,3518552
,US,329584842
,Uzbekistan,34113034
,Vanuatu,292680
,Venezuela,32219521
,Vietnam,96208984
,West Bank and Gaza,4976684
,Yemen,29825968
,Zambia,17885422
,Zimbabwe,15159624
,Antarctica,5000
,Kiribati,123419
,Palau,18233
,Summer Olympics 2020,31091
,Tonga,107749
,Winter Olympics 2022,60000